,OSEBuildingID,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,SteamUse,Electricity,NaturalGas,PropertyGFABuilding(s)Pct,PropertyGFAParkingPct,LargestPropertyUseTypeGFAPct,SecondLargestPropertyUseTypeGFAPct,ThirdLargestPropertyUseTypeGFAPct,BuildingType_is_campus,BuildingType_is_NonResidential,BuildingType_is_Nonresidential_COS,BuildingType_is_Nonresidential_WA
0,1,Hotel,47.6122,-122.33799,1927,1,12,0,88434,Hotel,88434.0,NotUsed,0.0,NotUsed,0.0,60.0,7456910.0,249.98,True,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,Hotel,47.61317,-122.33393,1996,1,11,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,8664479.0,295.86,False,True,True,85.45468590077824,14.545314099221752,94.77751915210956,17.02108426928205,5.222480847890443,0.0,1.0,0.0,0.0
2,3,Hotel,47.61393,-122.3381,1969,1,41,196718,759392,Hotel,756493.0,NotUsed,0.0,NotUsed,0.0,43.0,73937112.0,2089.28,True,True,True,79.42517074395205,20.574829256047945,99.61824722936244,0.0,0.0,0.0,1.0,0.0,0.0
3,5,Hotel,47.61412,-122.33664,1926,1,10,0,61320,Hotel,61320.0,NotUsed,0.0,NotUsed,0.0,56.0,6946800.5,286.43,True,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
4,8,Hotel,47.61375,-122.34047,1980,1,18,62000,113580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,14656503.0,505.01,False,True,True,64.68846110035311,35.311538899646884,108.68550801197394,59.87761929917239,0.0,0.0,1.0,0.0,0.0
5,9,Other,47.61623,-122.33657,1999,1,2,37198,60090,Police Station,88830.0,NotUsed,0.0,NotUsed,0.0,,12581712.0,301.81,False,True,True,61.765068662116605,38.234931337883395,147.82825761357964,0.0,0.0,0.0,0.0,1.0,0.0
6,10,Hotel,47.6139,-122.33283,1926,1,11,0,83008,Hotel,81352.0,NotUsed,0.0,NotUsed,0.0,27.0,6062767.5,176.14,False,True,True,100.0,0.0,98.00501156515034,0.0,0.0,0.0,1.0,0.0,0.0
7,11,Other,47.61327,-122.33136,1926,1,8,0,102761,Other - Entertainment/Public Assembly,102761.0,NotUsed,0.0,NotUsed,0.0,,7067881.5,221.51,True,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
8,12,Hotel,47.60294,-122.33263,1904,1,15,0,163984,Hotel,163984.0,NotUsed,0.0,NotUsed,0.0,43.0,14194054.0,392.16,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
9,15,Hotel,47.60695,-122.33414,1969,1,11,19279,133884,Hotel,133884.0,NotUsed,0.0,NotUsed,0.0,30.0,16646930.0,691.26,True,True,True,87.41275634454797,12.587243655452035,100.0,0.0,0.0,0.0,1.0,0.0,0.0
10,16,Hotel,47.60713,-122.33323,1998,1,25,61161,272015,Hotel,336640.0,NotUsed,0.0,NotUsed,0.0,36.0,27070114.0,740.97,True,True,True,81.64303551276203,18.356964487237978,123.7578809992096,0.0,0.0,0.0,1.0,0.0,0.0
11,17,Hotel,47.60699,-122.33346,1928,1,9,0,65009,Hotel,65009.0,NotUsed,0.0,NotUsed,0.0,48.0,6358719.5,328.23,True,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
12,18,Hotel,47.60809,-122.33212,1980,1,33,57600,258352,Hotel,295511.0,Parking,57600.0,NotUsed,0.0,58.0,22524948.0,648.62,True,True,True,81.76938269104167,18.230617308958323,114.38308973803183,22.295163188208335,0.0,0.0,1.0,0.0,0.0
13,19,Hotel,47.60755,-122.33244,1922,1,11,25200,66990,Hotel,67390.0,Parking,25200.0,NotUsed,0.0,35.0,11179203.0,511.39,True,True,True,72.66514806378132,27.33485193621868,100.59710404537991,37.61755485893417,0.0,0.0,1.0,0.0,0.0
14,21,Other,47.60649,-122.33297,2004,1,11,57000,355000,Library,364913.0,Parking,49000.0,Data Center,1074.0,,18706912.0,181.38,True,True,False,86.16504854368932,13.83495145631068,102.79239436619719,13.80281690140845,0.30253521126760563,0.0,0.0,1.0,0.0
15,22,Other,47.60546,-122.33279,1930,1,6,0,103911,Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,10192124.0,433.86,True,True,True,100.0,0.0,86.61258192106706,38.49448085380759,0.0,0.0,1.0,0.0,0.0
16,23,Hotel,47.60681,-122.33078,1983,1,28,85000,331281,Hotel,348329.0,Parking,85000.0,NotUsed,0.0,31.0,34351920.0,802.89,False,True,True,79.58110026640658,20.418899733593413,105.14608444190883,25.65797615921227,0.0,0.0,1.0,0.0,0.0
17,24,Mixed Use Property,47.60515,-122.33159,1907,1,5,0,57452,Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,7877219.0,273.02,True,True,True,100.0,0.0,28.618672979182623,26.987746292557265,16.955023323818143,0.0,1.0,0.0,0.0
18,25,Hotel,47.60376,-122.33194,1916,1,10,0,104352,Hotel,104352.0,NotUsed,0.0,NotUsed,0.0,39.0,10154608.0,349.32,True,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
19,26,Other,47.60265,-122.33051,1916,1,10,0,540360,Courthouse,537150.0,NotUsed,0.0,NotUsed,0.0,76.0,47023088.0,1265.29,False,True,True,100.0,0.0,99.40595158783033,0.0,0.0,0.0,1.0,0.0,0.0
20,27,Other,47.60378,-122.32842,1985,1,19,0,385274,Other,385274.0,NotUsed,0.0,NotUsed,0.0,,49539212.0,1699.45,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
21,29,Hotel,47.65959,-122.31755,2001,1,6,30586,58006,Hotel,58006.0,Parking,30586.0,NotUsed,0.0,84.0,3673186.75,90.01,False,True,True,65.47543796279574,34.52456203720426,100.0,52.72902803158294,0.0,0.0,1.0,0.0,0.0
22,30,University,47.61816,-122.33629,1928,1,7,0,126593,College/University,125000.0,NotUsed,0.0,NotUsed,0.0,,12183313.0,388.04,False,True,True,100.0,0.0,98.74163658338139,0.0,0.0,0.0,1.0,0.0,0.0
23,31,Other,47.615,-122.33081,1930,1,2,0,67224,Automobile Dealership,67224.0,NotUsed,0.0,NotUsed,0.0,,1310236.625,9.13,False,True,False,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
24,32,Hotel,47.61301,-122.32929,1991,1,8,30301,128375,Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,5424942.0,256.57,False,True,True,80.90385439511961,19.096145604880384,87.77098344693282,32.716650438169424,3.505355404089581,0.0,1.0,0.0,0.0
25,33,Hotel,47.61784,-122.32966,2001,1,10,38281,133585,Hotel,128909.0,NotUsed,0.0,NotUsed,0.0,57.0,11171407.0,328.63,False,True,True,77.72625184736947,22.27374815263054,96.49960699180298,0.0,0.0,0.0,1.0,0.0,0.0
26,35,Hotel,47.61558,-122.34186,1978,1,5,16200,52210,Hotel,47994.0,NotUsed,0.0,NotUsed,0.0,57.0,4557974.0,128.44,False,True,True,76.31925157140769,23.68074842859231,91.92491859796974,0.0,0.0,0.0,1.0,0.0,0.0
27,38,Small- and Mid-Sized Office,47.6641,-122.33118,1906,1,3,0,87262,Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,4703690.0,157.77,False,True,True,100.0,0.0,46.91962137012675,20.802869519378422,4.935710847791707,0.0,1.0,0.0,0.0
28,40,Hotel,47.66583,-122.29965,1994,1,4,0,81871,Hotel,81871.0,NotUsed,0.0,NotUsed,0.0,29.0,6731281.5,215.0,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
